ID,Title,Content,"Short Description","Image URL","Product categories"
14626,"0070 Black - Intra","[html_block id=""16146""]","Η επιφάνεια 0070 Black Intra αναπαράγει με ακρίβεια την εμφάνιση και την αίσθηση του ξύλου σε θερμή γκρι απόχρωση και προσδίδει στον χώρο αυθεντικότητα και φυσικότητα.",https://alfawood.gr/wp-content/uploads/2023/03/0070.jpg,"Alfa Surfaces>Επιφάνειες Μελαμίνης>Premium Collection>INTRA"
14629,"0070 Black - Terra","[html_block id=""17381""]","Η επιφάνεια 0070 Black Terra είναι εμπνευσμένη από τις τάσεις της βιομηχανικής διακόσμησης. Είναι μια από τις πλέον καινοτόμες υφές σε μαύρη απόχρωση απομίμησης πέτρας. Ιδανική για εκείνους που θέλουν να δημιουργήσουν χώρους με Industrial στυλ.",https://alfawood.gr/wp-content/uploads/2023/03/0070-1.jpg,"Alfa Surfaces>Επιφάνειες Μελαμίνης>Premium Collection>TERRA"
14632,"8702 Brooklyn Brown","[html_block id=""16449""]","Το δάπεδο laminate Brooklyn Brown 8702 με τις σκούρες ακαθόριστες πινελιές &amp; ρόζους δημιουργεί ένα φυσικό αυθεντικό αποτέλεσμα. Το σχέδιο της σανίδας συνεχίζεται σχεδόν πανομοιότυπο από την προηγούμενη σανίδα, χαρίζοντας extra βάθος. Η συνύπαρξη της αντοχής &amp; του ρομαντισμού κάνουν την επιλογή σας μοναδική!",https://alfawood.gr/wp-content/uploads/2023/03/8702-Brooklyn-Brown.jpg,"Δάπεδα - Alfa Flooring>Δάπεδα Εσωτερικού χώρου>Laminate>Elegant line AC5 8mm"
14634,"0694 Cement - Intra","<div class=""sheet33"">[html_block id=""16146""]</div>","Η επιφάνεια 0694 Cement Intra αναπαράγει με ακρίβεια την εμφάνιση και την αίσθηση του ξύλου σε σκούρα γκρι απόχρωση και προσδίδει στον χώρο αυθεντικότητα και φυσικότητα.",https://alfawood.gr/wp-content/uploads/2023/03/0694.jpg,"Alfa Surfaces>Επιφάνειες Μελαμίνης>Premium Collection>INTRA"
14637,"0694 Cement - Terra","[html_block id=""17381""]","Η επιφάνεια 0694 Cement Terra είναι εμπνευσμένη από τις τάσεις της βιομηχανικής διακόσμησης. Είναι μια από τις πλέον καινοτόμες υφές σε γκρι σκούρα απόχρωση απομίμησης πέτρας. Ιδανική για εκείνους που θέλουν να δημιουργήσουν χώρους με Industrial στυλ.",https://alfawood.gr/wp-content/uploads/2023/03/0694-1.jpg,"Alfa Surfaces>Επιφάνειες Μελαμίνης>Premium Collection>TERRA"
14640,Cubes,"[html_block id=""21057""]","[html_block id=""21080""]",https://alfawood.gr/wp-content/uploads/2023/03/CUBES.jpg,"Επιφάνειες Καπλαμά - Alfa Xilo>L'arte del legno"
14643,"8302 Elvezia Grey","[html_block id=""16449""]","Όταν το δάπεδο αποτελεί κλειδί για τη διακόσμηση του χώρου σας η μοντέρνα απόχρωση Elvezia Grey 8302 με τους αρμούς θα καθορίσει το στυλ σας!",https://alfawood.gr/wp-content/uploads/2023/03/8302-Elvezia-Grey.jpg,"Δάπεδα - Alfa Flooring>Δάπεδα Εσωτερικού χώρου>Laminate>Elegant line AC5 8mm"
14645,"8502 Elvezia Rovere","[html_block id=""16449""]","Η δάπεδο laminate Elvezia Rovere 8502 προσφέρει μία φυσική αίσθηση με παιχνιδίσματα σκουρόχρωμων &amp; ξανθών νερών. Η υφή του country style αναδεικνύει τη κομψότητα του παλαιωμένου ξύλου. Ιδανικό για την κάλυψη επαγγελματικών &amp; βαρειάς χρήσης χώρων αλλά &amp; κάλυψη οικιακών χώρων.",https://alfawood.gr/wp-content/uploads/2023/03/8502-Elvezia-Rovere.jpg,"Δάπεδα - Alfa Flooring>Δάπεδα Εσωτερικού χώρου>Laminate>Elegant line AC5 8mm"
14647,"0074 Graphite - Intra","[html_block id=""16146""]","Η επιφάνεια 0074 Graphite Intra αναπαράγει με ακρίβεια την εμφάνιση και την αίσθηση του ξύλου σε σκούρα γκρι απόχρωση και προσδίδει στον χώρο αυθεντικότητα και φυσικότητα.",https://alfawood.gr/wp-content/uploads/2023/04/0074-intra-melamine-jpg.webp,"Alfa Surfaces>Επιφάνειες Μελαμίνης>Premium Collection>INTRA"
14650,"0074 Graphite - Terra","[html_block id=""17381""]","Η επιφάνεια 0074 Graphite Terra είναι εμπνευσμένη από τις τάσεις της βιομηχανικής διακόσμησης. Είναι μια από τις πλέον καινοτόμες υφές σε γκρι σκούρα απόχρωση απομίμησης πέτρας. Ιδανική για εκείνους που θέλουν να δημιουργήσουν χώρους με Industrial στυλ.",https://alfawood.gr/wp-content/uploads/2023/03/0074-1.jpg,"Alfa Surfaces>Επιφάνειες Μελαμίνης>Premium Collection>TERRA"
14653,"0494 Lapis - Intra","[html_block id=""16146""]","Η επιφάνεια 0494 Lapis Intra αναπαράγει με ακρίβεια την εμφάνιση και την αίσθηση του ξύλου σε γκρι - καφέ απόχρωση και προσδίδει στον χώρο αυθεντικότητα και φυσικότητα.",https://alfawood.gr/wp-content/uploads/2023/03/0494.jpg,"Alfa Surfaces>Επιφάνειες Μελαμίνης>Premium Collection>INTRA"
14656,"0494 Lapis - Terra","[html_block id=""17381""]","Η επιφάνεια 0494 Lapis Terra είναι εμπνευσμένη από τις τάσεις της βιομηχανικής διακόσμησης. Είναι μια από τις πλέον καινοτόμες υφές σε γκρι - καφέ απόχρωση απομίμησης πέτρας. Ιδανική για εκείνους που θέλουν να δημιουργήσουν χώρους με Industrial στυλ.",https://alfawood.gr/wp-content/uploads/2023/03/0494-melamine-terra-lapis-jpg.webp,"Alfa Surfaces>Επιφάνειες Μελαμίνης>Premium Collection>TERRA"
14659,"0988 Sabbia - Intra","<div class=""sheet33"">[html_block id=""16146""]</div>","Η επιφάνεια 0988 Sabbia Intra αναπαράγει με ακρίβεια την εμφάνιση και την αίσθηση του ξύλου σε μπεζ απόχρωση και προσδίδει στον χώρο αυθεντικότητα και φυσικότητα.",https://alfawood.gr/wp-content/uploads/2023/03/0988.jpg,"Alfa Surfaces>Επιφάνειες Μελαμίνης>Premium Collection>INTRA"
14662,"0988 Sabbia - Terra","[html_block id=""17381""]","Η επιφάνεια 0988 Sabbia Terra είναι εμπνευσμένη από τις τάσεις της βιομηχανικής διακόσμησης. Είναι μια από τις πλέον καινοτόμες υφές σε μπεζ απόχρωση απομίμησης πέτρας. Ιδανική για εκείνους που θέλουν να δημιουργήσουν χώρους με Industrial στυλ.",https://alfawood.gr/wp-content/uploads/2023/03/0988-1.jpg,"Alfa Surfaces>Επιφάνειες Μελαμίνης>Premium Collection>TERRA"
14665,"0090 White - Intra","<div class=""sheet33"">[html_block id=""16146""]</div>","Η επιφάνεια 0090 White Intra αναπαράγει με ακρίβεια την εμφάνιση και την αίσθηση του ξύλου σε λευκή απόχρωση και προσδίδει στον χώρο αυθεντικότητα και φυσικότητα.",https://alfawood.gr/wp-content/uploads/2023/03/0090.jpg,"Alfa Surfaces>Επιφάνειες Μελαμίνης>Premium Collection>INTRA"
14668,"0090 White - Terra","[html_block id=""17381""]","Η επιφάνεια 0090 White Terra είναι εμπνευσμένη από τις τάσεις της βιομηχανικής διακόσμησης. Είναι μια από τις πλέον καινοτόμες υφές σε λευκή απόχρωση απομίμησης πέτρας. Ιδανική για εκείνους που θέλουν να δημιουργήσουν χώρους με Industrial στυλ.",https://alfawood.gr/wp-content/uploads/2023/03/0090-1.jpg,"Alfa Surfaces>Επιφάνειες Μελαμίνης>Premium Collection>TERRA"
